No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
375,19.56604994,192.168.1.1,192.168.1.2,TCP,7306,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=137561 Ack=1 Win=42496 Len=7240 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56606959,19.56604994,0.001593694,1.97E-05,0.001574044
376,19.56606959,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=112945 Win=125952 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56766329,19.56606959,-0.001586178,0.001593694,-0.003179872
377,19.56766329,192.168.1.1,192.168.1.2,TCP,21786,"54384  >  5001 [PSH, ACK] Seq=209961 Ack=1 Win=42496 Len=21720 TSval=316238692 TSecr=2680708466",,,,,,,,,,,,,19.56607711,19.56766329,0.001600635,-0.001586178,0.003186813
378,19.56607711,192.168.1.1,192.168.1.2,TCP,21786,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=144801 Ack=1 Win=42496 Len=21720 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56767775,19.56607711,-0.00159678,0.001600635,-0.003197415
379,19.56767775,192.168.1.1,192.168.1.2,TCP,21786,"54384  >  5001 [PSH, ACK] Seq=231681 Ack=1 Win=42496 Len=21720 TSval=316238692 TSecr=2680708466",,,,,,,,,,,,,19.56608097,19.56767775,3.60E-05,-0.00159678,0.001632761
380,19.56608097,192.168.1.1,192.168.1.2,TCP,5858,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=166521 Ack=1 Win=42496 Len=5792 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56611695,19.56608097,1.33E-05,3.60E-05,-2.27E-05
381,19.56611695,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=123081 Win=146432 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56613022,19.56611695,7.87E-06,1.33E-05,-5.40E-06
382,19.56613022,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=137561 Win=158208 Len=0 TSval=2680708464 TSecr=316238690,,,,,,,,,,,,,19.56613809,19.56613022,4.55E-06,7.87E-06,-3.32E-06
383,19.56613809,192.168.1.1,192.168.1.2,TCP,15994,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=172313 Ack=1 Win=42496 Len=15928 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.56614264,19.56613809,0.001438864,4.55E-06,0.001434314
384,19.56614264,192.168.1.1,192.168.1.2,TCP,10202,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=188241 Ack=1 Win=42496 Len=10136 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.5675815,19.56614264,3.88E-05,0.001438864,-0.00140011
385,19.5675815,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=198377 Win=158208 Len=0 TSval=2680708466 TSecr=316238690,,,,,,,,,,,,,19.56762026,19.5675815,4.49E-06,3.88E-05,-3.43E-05
386,19.56762026,192.168.1.1,192.168.1.2,TCP,11650,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=198377 Ack=1 Win=42496 Len=11584 TSval=316238692 TSecr=2680708466",,,,,,,,,,,,,19.56762475,19.56762026,1.88E-06,4.49E-06,-2.61E-06
387,19.56762475,192.168.1.1,192.168.1.2,TCP,21786,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=209961 Ack=1 Win=42496 Len=21720 TSval=316238692 TSecr=2680708466",,,,,,,,,,,,,19.56762663,19.56762475,0.000379959,1.88E-06,0.000378075
388,19.56762663,192.168.1.1,192.168.1.2,TCP,21786,"[TCP Retransmission] 54384  >  5001 [PSH, ACK] Seq=231681 Ack=1 Win=42496 Len=21720 TSval=316238692 TSecr=2680708466",,,,,,,,,,,,,19.56800659,19.56762663,5.26E-05,0.000379959,-0.000327379
389,19.56800659,192.168.1.1,192.168.1.2,TCP,8754,"54384  >  5001 [PSH, ACK] Seq=253401 Ack=1 Win=42496 Len=8688 TSval=316238692 TSecr=2680708466",,,,,,,,,,,,,19.56805917,19.56800659,0.001227723,5.26E-05,0.001175143
390,19.56805917,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=209961 Win=181248 Len=0 TSval=2680708466 TSecr=316238692,,,,,,,,,,,,,19.56928689,19.56805917,0.000157732,0.001227723,-0.001069991
391,19.56928689,192.168.1.1,192.168.1.2,TCP,11650,"54384  >  5001 [PSH, ACK] Seq=262089 Ack=1 Win=42496 Len=11584 TSval=316238693 TSecr=2680708466",,,,,,,,,,,,,19.56944463,19.56928689,3.67E-05,0.000157732,-0.000120984
